"Abiotrophia","Acetivibrio","Acidaminococcaceae_unclassified","Acidaminococcus","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetales_unclassified","Aggregatibacter","Akkermansia","Alistipes","Alkalibaculum","Allisonella","Allobaculum","Alloprevotella","Alloscardovia","Alphaproteobacteria_unclassified","Anaerobacter","Anaerococcus","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerostipes","Anaerotruncus","Arcobacter","Asaccharobacter","Atopobium","Bacillales_unclassified","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brochothrix","Burkholderiales_incertae_sedis_unclassified","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Capnocytophaga","Cardiobacterium","Carnobacterium","Catenibacterium","Cellulosilyticum","Cloacibacillus","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacteriaceae_unclassified","Corynebacterium","Delftia","Deltaproteobacteria_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Eikenella","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelothrix","Erysipelotrichaceae_unclassified","Escherichia.Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavonifractor","Fructobacillus","Fusobacteriaceae_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Gemmiger","Geobacillus","Gordonibacter","Granulicatella","Haemophilus","Hallella","Helcococcus","Holdemania","Howardella","Kingella","Klebsiella","Lachnospira","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Lactonifactor","Leptotrichia","Leuconostoc","Marvinbryantia","Megamonas","Megasphaera","Methylobacterium","Mitsuokella","Mogibacterium","Moraxellaceae_unclassified","Morganella","Murdochiella","Negativicoccus","Neisseria","Neisseriaceae_unclassified","Novosphingobium","Odoribacter","Olsenella","Oscillibacter","Oxalobacter","Pantoea","Parabacteroides","Paraeggerthella","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pediococcus","Pelomonas","Peptococcaceae_1_unclassified","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Planococcaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pseudoramibacter","Pyramidobacter","Rhizobiales_unclassified","Rikenella","Rikenellaceae_unclassified","Roseburia","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Salmonella","Sarcina","Selenomonadales_unclassified","Selenomonas","Serratia","Shuttleworthia","Slackia","Soonwooa","Sphingomonadaceae_unclassified","SR1_unclassified","Staphylococcus","Stenotrophomonas","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sutterella","Synergistaceae_unclassified","Turicibacter","Veillonella","Veillonellaceae_unclassified","Weissella","Xanthomonadaceae_unclassified"
0,0,0,0,0,0,0.2,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.04,0.16,176.32,0,0.41,0,0.18,15.72,0.45,65.89,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,1.31,3.54,0,0,23.67,7.36,1.85,5.65,0,0.7,0,1.03,0,0,0,0,0.75,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,2.46,0.54,0,0,0,106.94,0,0,35.6,0,0.11,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,8.26,336.33,0,0,0.28,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.16,0,0,0.14,0,3.61,0,0,2.1,0,0,0,1.07,0,0,0,0,0,0,0,0,0,15.53,0,1.4,0,0.35,0,0,0,0,0,0.15,0,0,0,0,0,0,0,1.01,72.16,21.9,12.61,0,0,0,0,0,0,0.15,0,0,0,0,0,0,2.86,0,0,0,2.44,0,0,0,0
0.63,0,0,0,0,0,0,0,0.77,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.53,0,7.57,1.8,0,0,0,0,0,176.5,0,0,0,1.69,0,0,0,0.68,0,0,0,0,0,0,0.37,7.68,0,0,26.99,1.12,0,67.66,0,0,0,0.39,2.05,0,0,0,1.39,0,0.3,0,0,0,0,0,0,22.79,0,0.3,0.36,0,0,0,0,0,15.62,3.2,0,0,0.44,125.21,0,0,10.43,0,0,0,0,0,0,0.73,0,0,0,0,0.37,0,0,0,1.3,0,0,3.23,329.21,0,0,0,0,0,0.36,0,0,0,0,0,0,0.33,0,0,0,0,1.71,0,0,0,0,0.67,0,0,0,0,0.69,0,0,0.39,0,0,0,0,0,0,0,0,0.72,0,0,1.11,30.25,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,48.2,0.37,79.95,0,0,6.21,0,0,0,0.76,0,0,0,0,0,0,10.44,0,0,0,0,1.39,0,0,0
0,0,0,0,0,1.2,0.51,1.17,0,0,0.26,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.42,0,9.53,0,0,0,0,4.67,0,207.02,0,0,0,6.8,0,0,0,0,0,0,0,44.39,0,0,5.12,1.38,0,0,5.94,1.92,0,0,0,0,0,0,24.89,0,0,0,2.63,0,0,0,0,0,0,0,0.31,43.53,0,0,0,0,0,0,0,0,89.48,0,0,0,0,65.3,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.45,327.78,0.27,0,0,0,0,0,0,0,0,2.27,0,1.06,0,0,0,0,0,0,0,0,0,0.62,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6,57.82,58.84,0,0,0,0,0,0,1.99,0,0,0,0,0,0,1.54,0,0,0,0,0,0.24,0.23,0
0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.49,0,160.39,0,6.59,0,0,21.79,0.4,87.06,0,0,1.38,9.02,0.2,0,0,0,0,0,0,0,0,0,0.16,0,0,0,7.82,0.13,0,0,0,0,0,0,0.51,0,0,0,1.08,0,0,0,0,0,0,0,13.58,5.02,0,0,0,0,0,0,0,0,4.08,0,0,0,0,121.94,0,0,5.86,0,0,0,0,0,0,0,0,0,0.55,0,0.24,0,0,0.88,0,0,0,20.57,330.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,6.19,0,0,16.77,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.13,0,0,0,0,0,0,0,0,2.9,0,43.97,14.77,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.3,0,0,0,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.76,0,143.29,0.61,0.71,0.3,0,0,0.81,79.72,0,0,1.52,2.08,0.58,0,0,0,0,0,0,0,0,0,0.32,8.78,0,0,43.78,0.33,0,3.43,0,0.3,0,0,5.84,0,0,0,1.24,0,0,0,0,0.25,0,0.57,0,9.96,0,0,0,0,0,0,0,0,1.72,0.76,0.27,0,0,93.99,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,321.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,4.85,0,0,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.55,0,82.72,0.27,8.29,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0.45,0,0,0,0,0.25,0,0,0
0,0,0,0,0,0,0.19,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.74,34.36,382.74,27.59,5.33,0.26,0,10.18,0,63.01,0,0,0,5.54,2.04,0,0,0,0,0,0,0,0,0,0.14,6.19,0,0,15.1,10.74,0,9.64,0,0,0,0,4.33,0,0,0,1.69,0,0,0,0.21,0.25,3.2,0,0,15.88,0,0,0,0,0,0,0,0,0.26,0,0,0,0,100.61,0,0,18.07,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,166.79,0,0,0,0.25,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,5.9,0,0,4.72,0,3.4,0,0.52,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,56.3,2.85,2.2,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0
0,0,0,0,0,0,7.45,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0.22,0.2,1.83,0.16,0,0,0,0,0.13,2.78,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,2.18,0,0,0.22,0,0,7.53,0,0,0,0,0.42,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3.95,0,0,0,262.89,0,0,0,2.61,0,0,0.76,0,0,0,0,0.25,0,0,0,0,0,1.04,0.69,0,0,0,0,0,0,0,8.44,0,0.87,1.88,0.23,0,1.72,0,0,0,0.39,0,0,0.93,0,0,0,0,0,0,0,0,0,0.18,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,1.39,1.34,0.47,0.37,0,0,0,0,0,0,0.32,0,0,0,0,0,0,681.63,0,6.39,0,37.42,6.23,0,0,0
0,0,0,0,0,0,0.82,0.9,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.37,0,18.34,0,0,0.84,0,0,0,0,0.15,0,0,0,0,0,0,0,116.91,0,0,1.3,0,11.89,185.81,0,0.13,0,0.15,0,0,0,0,0,0,15.44,0,0,0,0,0,0,0,0,0,0,29.45,1.02,13.43,0,0,0,155.48,0,0,0,0,0,1.02,0,0,0,0,0,0.17,0.18,0,0,0,0,0.76,6.27,0,0,0,0.17,0,49.3,0,3.51,0,397.95,0.73,1.2,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,1.26,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,24.16,0,0,0,0,8.06,0,0,0
0,0,0,1.07,0,0.4,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.22,0.35,253,0,0,0.35,0,55.08,0.6,50.66,0,0,1.88,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,17.15,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,47.06,4.7,0,1.71,0,0,0,1.75,0.68,0,0.87,0,0,0,0,128.89,0,0,0.61,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,8.93,289.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,6.61,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0,0.55,0,104.05,13.34,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0.32,0,0,0
0,0,0,68.36,0,0,0.53,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,199.8,0,0.95,0,0.73,27.44,0.56,180.03,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,1.38,3.35,0,2.36,0,0.52,4,0,38.28,0,0,0,2.48,0,0,0,0,0,0,0,0,12.77,0,0.31,0,0,0,0,0,0,0.7,0.27,0,0,0,162.94,0,0,0.73,0,1.65,0,0,0,0,0.27,0,0,0,0.28,0,0,0,0,0,0,0,7.4,243.69,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1.13,0,0,0,0.18,0,0,0,0,0,0,0,0,0,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,0,1.53,0,0.75,0.88,0,0,0
