"Group","Acidaminococcaceae_unclassified","Acidaminococcus","Acidovorax","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetales_unclassified","Akkermansia","Alistipes","Alkalibaculum","Allisonella","Anaerobacter","Anaerococcus","Anaerofustis","Anaeroglobus","Anaerotruncus","Arcobacter","Atopobium","Bacillales_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacterium","Bilophila","Blautia","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Candidatus_Saccharibacteria_unclassified","Catenibacterium","Chryseobacterium","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Comamonas","Coprobacillus","Coriobacteriaceae_unclassified","Corynebacteriaceae_unclassified","Corynebacterium","Deltaproteobacteria_unclassified","Desulfovibrio","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Enhydrobacter","Enterobacteriaceae_unclassified","Enterococcus","Erysipelothrix","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Finegoldia","Firmicutes_unclassified","Flavonifractor","Fusobacterium","Gemella","Granulicatella","Haemophilus","Holdemania","Howardella","Klebsiella","Lachnospiraceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Leuconostoc","Megasphaera","Microvirgula","Mitsuokella","Mogibacterium","Moraxellaceae_unclassified","Morganella","Natranaerovirga_unclassified","Negativicoccus","Neisseriaceae_unclassified","Novosphingobium","Odoribacter","Oscillibacter","Oxalobacter","Oxalobacteraceae_unclassified","Paenibacillaceae_1_unclassified","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Phyllobacteriaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhizobacter","Rhizobiaceae_unclassified","Rhizobiales_unclassified","Rhizobium","Roseburia","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Salmonella","Sedimentibacter","Selenomonadales_unclassified","Selenomonas","Slackia","Solobacterium","Sphingobacterium","Sphingomonadaceae_unclassified","Staphylococcus","Streptococcaceae_unclassified","Streptococcus","Sulfurospirillum","Sutterella","Synergistaceae_unclassified","Syntrophomonadaceae_unclassified","Turicibacter","Veillonella","Veillonellaceae_unclassified","Weissella"
"AFR001",0,6,0,1,0,1,0,207,4915,0,0,0,0,0,0,1,0,0,0,71,913,19235,0,0,0,1,1,159,0,0,0,0,4,0,0,0,0,0,34,0,445,2,117,3,144,0,1,3,0,0,0,0,0,0,0,0,4,2553,33,0,0,0,1,0,0,28,4008,0,0,306,0,1,0,0,0,0,0,0,0,0,1443,1,0,6,6,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,316,361,25,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,25,1,2079,35,1,0,2,0,0,0,0,0,0,1,2,0,20,0,0,0,50,1,11
"AFR002",0,0,0,20,0,6,1,656,1,0,0,0,0,0,0,59,1,0,18,1501,0,7058,0,0,2,7,2,780,634,0,0,0,5,0,0,2,0,6,36,12,1704,62,1,102,502,0,74,1,10,1,0,10,1,0,0,0,0,0,162,422,3,0,169,6,3,98,4926,0,0,1004,0,160,1,0,0,0,7,54,0,6,4711,0,1,15,13,0,0,0,0,0,0,1,0,0,0,0,480,0,0,0,1,0,0,0,0,0,2755,0,0,0,0,2,0,2,0,516,17,277,0,0,0,0,516,0,4378,1071,199,0,3,0,0,0,0,3,0,3,22,0,0,0,0,164,18,0,55
"AFR003",0,59,0,3,0,1,0,19,72,0,0,0,0,0,0,0,0,0,0,183,0,19552,0,229,0,3,0,276,0,0,0,2,2,0,0,0,0,1,0,12,170,9,0,5,19,4,11,11,1,0,1,1,0,0,0,0,0,0,65,0,0,0,0,1,0,42,2,0,0,5847,0,173,0,0,0,1,38,8,0,1,2674,0,5,2,5,3,0,0,4,0,0,0,0,0,0,16,20,0,0,0,478,0,46,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1889,0,492,52,0,0,543,0,0,0,0,1,0,0,230,0,165,0,0,0,426,0,11
"AFR004",0,0,0,0,0,12,1,0,1,0,0,0,0,0,47,0,0,0,0,2,0,8426,0,0,0,3,0,7,0,0,0,0,2,0,0,0,0,0,0,0,5404,0,2,1,0,0,15,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,5,4,0,0,21686,0,0,0,0,0,0,13,1,0,0,0,19,1167,337,0,0,5,7,106,1,0,0,1,212,0,0,1,0,0,1,0,0,0,0,32,0,0,0,42,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,125,0,0,0,1,0,0,25,0,97,0,0,0,22,310,21
"AFR005",2,459,0,0,0,1,4,1,753,0,77,0,0,0,1,1,0,0,0,213,311,10283,4,210,0,12,3,91,7,0,40,11,2,68,0,0,0,0,4,0,251,17,0,23,160,8,4,51,0,0,40,4,0,0,28,175,3,0,23,1,0,0,0,0,1,40,144,0,0,612,0,238,1,284,0,2,0,6,9,0,1891,0,20,0,0,1065,0,2143,1,0,0,1,0,0,0,13,114,0,0,0,348,51,3,2,0,0,0,0,0,3,2,2145,0,0,1,6,1,1,0,0,0,0,656,0,1144,58,0,1,955,0,7,0,0,0,0,0,14,0,331,0,0,3,1,0,0
"AFR006",0,0,0,0,0,6,0,108,1079,0,0,0,0,0,0,4,0,1,0,2256,25,7226,43,505,0,2,2,98,0,0,74,0,2,0,0,0,0,0,8,0,723,18,0,1,97,0,1,27,0,0,0,15,0,0,0,0,0,139,107,0,0,0,18,0,1,1,4,0,1,584,0,593,1,0,0,0,13,17,25,2,8387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,64,0,4,0,565,1,0,0,0,0,668,0,6,5,0,657,0,0,0,14,0,4,0,0,0,0,166,6,6409,14,1,0,0,0,13,0,0,0,0,0,46,0,3,24,0,0,28,0,3
"AFR007",0,0,2,4,0,2,1,1,3097,0,0,0,1,0,0,1,0,0,0,1018,0,4015,0,0,0,4,5,669,0,0,0,0,3,0,0,0,0,1,0,0,428,20,0,0,68,855,32,59,3,1,0,6,0,0,0,0,0,0,393,0,0,0,0,4,3,495,32,0,0,1857,0,205,1,0,2,6,2,18,0,2,5548,1,0,8,8,0,0,0,0,0,0,0,0,0,0,54,90,0,0,0,418,0,177,9,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,49,1,8951,1347,0,0,363,0,0,1,0,0,1,1,187,0,0,0,0,0,3,0,33
"AFR008",0,0,0,0,3,0,3,0,1727,0,0,0,0,0,0,1,0,0,0,88,2,14434,0,0,0,0,2,146,0,1,0,2,1,0,0,0,0,0,0,0,89,0,0,1,2,2,6,25,1,0,1,3,0,0,0,0,0,33,25,0,1,1,0,0,0,1,157,0,0,1267,0,29,0,0,3,3,17,2,0,0,1969,1,10,4,2,0,0,0,1,0,0,0,0,0,0,157,119,0,0,1,256,136,368,0,9,0,727,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,44,0,808,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0,0,0,242,1,7
"AFR009",0,0,0,43,0,0,3,2,2,0,0,0,0,8,0,47,10,0,0,227,0,54,0,0,1,1,0,1155,1,0,0,0,2,0,10,0,0,7,0,0,1520,98,0,252,2,9,169,1,14,1,4,1,0,1,0,2,0,1,1,0,15,2,2,11,0,49,13869,0,0,4,1,1531,4,0,0,0,0,0,0,0,1598,0,6,90,104,0,4,1,0,1,0,0,0,0,0,0,15,0,5,0,16,0,6,0,0,0,17,1,1,0,1,0,0,5,0,1,0,0,0,2,1,0,3,1,644,0,13,0,0,0,0,0,1,1,1,3,31,1,1,0,0,0,9,0,260
"AFR010",0,0,0,1,0,1,46,508,1680,0,0,1,0,0,0,28,0,0,0,1544,2,6769,0,0,0,4,1,309,8,0,0,0,0,0,1,0,457,1,4,508,583,121,20,35,107,33,165,0,1,0,8,8,0,0,1,0,74,8,65,0,31,0,0,0,125,5,159,0,1,192,0,402,0,1,0,0,0,10,0,0,3129,0,1,4,5,0,0,0,0,0,5,0,0,0,1,1114,93,3,0,0,552,0,13,15,0,0,0,0,0,38,0,0,0,0,0,232,90,1391,1,0,0,0,527,0,1721,43,0,47,0,0,0,1,0,2,0,0,3,1,0,0,9,3,8,0,16
