"Group","Acidovorax","Acinetobacter","Actinomyces","Aerococcus","Aeromicrobium","Aeromonas","Afipia","Aggregatibacter","Alistipes","Alkalibacterium","Alloprevotella","Anaerococcus","Anaeroplasma","Anaerostipes","Anaerovorax","Anoxybacillus","Arthrobacter","Asticcacaulis","Atopobium","Atopococcus","Atopostipes","Bacillus","Bacteroides","Barnesiella","Bilophila","Blastococcus","Blautia","Brachybacterium","Bradyrhizobium","Brevibacterium","Brevundimonas","Butyricicoccus","Butyricimonas","Campylobacter","Capnocytophaga","Chryseobacterium","Citricoccus","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonas","Coprococcus","Corynebacterium","Deinococcus","Dermabacter","Desulfotomaculum","Devosia","Dialister","Diaphorobacter","Dietzia","Dorea","Eggerthella","Eikenella","Enhydrobacter","Enterococcus","Escherichia/Shigella","Eubacterium","Exiguobacterium","Faecalibacterium","Finegoldia","Flavonifractor","Fusobacterium","Gemella","Gordonia","Granulicatella","Haematobacter","Haemophilus","Herbaspirillum","Hydrotalea","Janibacter","Kocuria","Kurthia","Lachnoanaerobaculum","Lactobacillus","Lactococcus","Legionella","Leptotrichia","Leucobacter","Leuconostoc","Luteococcus","Massilia","Megamonas","Megasphaera","Meiothermus","Methylobacterium","Microbacterium","Micrococcus","Microvirga","Mobiluncus","Mogibacterium","NA","Neisseria","Odoribacter","Oribacterium","Oscillibacter","Paenibacillus","Parabacteroides","Paracoccus","Paraprevotella","Parasutterella","Parvimonas","Pedobacter","Pelomonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phenylobacterium","Plantibacter","Porphyromonas","Prevotella","Propionibacterium","Pseudochrobactrum","Pseudomonas","Pseudorhodoferax","Pyramidobacter","Ralstonia","Rhizobium","Riemerella","Rikenella","Roseburia","Rothia","Ruminococcus","Ruminococcus2","Sarcina","Schlegelella","Sneathia","Solobacterium","Sphingomonas","Spirosoma","Sporosarcina","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Sutterella","Tepidimonas","Terrabacter","Tessaracoccus","Thermus","Treponema","Ureaplasma","Variovorax","Veillonella","Victivallis","Xanthobacter"
"SRR609697",0,0,1,0,0,0,0,0,6,0,0,0,0,0,3,25,0,0,0,0,0,0,246,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,6,1,0,0,1,45,0,0,182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,3,0,64,0,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,11,9,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0
"SRR609698",1,0,3,0,0,0,0,0,1,0,11,0,0,0,1,5,0,0,1,0,0,0,13,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,0,0,9,0,0,0,0,0,3,0,0,4,0,0,0,0,1,3,1,33,0,0,12,8,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,6,1,0,3,104,0,0,0,0,137,0,0,0,3,0,10,0,1,4,28,0,0,0,8,1,0,0,0,45,0,0,0,0,0,1,0,1,0,0,2,0,10,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0
"SRR609699",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,113,1,0,0,16,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,3,0,0,0,0,0,0,0,19,2,0,1,1,0,0,0,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,0,0,0,0,82,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,15,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0
"SRR609700",1,0,14,1,0,3,0,0,2,0,8,3,0,0,2,60,0,0,0,0,0,0,27,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,3,4,5,0,0,0,0,0,2,2,0,0,1,2,3,0,0,4,0,0,0,0,0,17,0,1,5,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,3,18,0,0,0,0,76,0,0,0,3,0,6,0,0,0,0,0,0,34,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,2,2,0,0,1,0,36,0,0,4,1,0,13,0,0,4,5,0,1
"SRR609701",0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,150,0,0,0,0,0,0,15,0,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,9,62,0,0,0,0,0,4,0,0,1,5,1,0,0,0,2,0,0,0,4,0,6,0,1,8,0,0,4,0,0,0,0,1,0,0,1,0,1,4,1,3,7,17,3,0,2,0,57,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,7,0,7,0,0,7,0,0,5,0,0,3,1,0,0
"SRR609702",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,0,0,0,0,38,0,0,0,3,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,57,6,0,5,0,0,0,2,7,0,0,0,0,0,3,0,0,0,1,1,6,0,0,22,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,8,21,0,0,0,0,52,0,1,0,1,0,3,0,0,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,3,1,0,1,0,3,0,0,5,0,0,53,0,0,1,0,0,0
"SRR609703",0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,153,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,3,0,0,0,9,3,1,0,0,0,0,2,0,15,0,0,0,0,2,0,0,53,0,0,2,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,0,129,1,4,0,5,1,1,0,0,1,2,3,1,0,0,7,0,0,0,0,4,0,3,0,0,0,0,0,0,11,0,0,114,0,0,0,0,0,2,0,0,0,2,0,0,4,0,1,2,0,0,1,1,0,0
"SRR609704",0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,75,0,0,0,0,0,0,135,0,0,0,5,4,0,0,2,4,0,0,6,1,0,0,0,0,0,33,0,0,24,19,0,0,0,29,13,3,0,2,0,0,0,2,7,0,1,2,0,3,0,0,147,0,0,68,5,0,6,0,0,5,0,0,3,0,3,0,0,1,20,0,0,0,0,1,0,0,2,11,1,1,1,0,141,0,0,0,1,0,1,0,1,1,7,0,0,0,2,0,1,0,1,1,18,1,0,0,0,2,1,0,1,6,0,0,8,0,1,0,0,1,0,0,5,0,8,1,0,16,0,0,4,0,0,0,3,0,0
"SRR609705",0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,7,0,0,0,0,1,0,225,0,1,0,13,2,0,0,1,1,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,0,1,6,3,5,0,0,0,1,1,2,3,0,0,1,1,40,0,0,156,0,0,3,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,249,0,4,0,39,0,5,3,2,2,0,0,0,1,0,2,0,0,2,3,11,0,0,0,0,0,0,0,0,13,1,7,8,1,0,0,0,0,0,0,4,0,10,1,1,1,0,0,0,0,0,0,3,2,0
"SRR609706",0,0,1,1,0,0,0,0,1,0,11,0,0,1,0,43,0,0,0,0,0,0,37,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10,12,1,0,0,11,5,8,1,0,0,11,0,2,0,0,0,0,0,0,1,0,46,0,0,45,24,0,1,0,0,1,0,1,0,0,0,3,0,0,18,0,0,0,0,4,0,0,0,2,1,0,1,1,87,0,0,1,6,0,11,0,0,1,51,0,0,1,25,1,0,0,4,45,9,0,1,0,0,2,1,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,4,0,0,5,0,0,1,0,0,0,3,0,0
