"otu","mda_median","iqr25","iqr75"
"Ruminococcaceae_unclassified",2.61658748873001,2.61658748873001,2.61658748873001
"Faecalibacterium",2.53463917008733,2.53463917008733,2.53463917008733
"Bacteroides",2.51463569051967,2.51463569051967,2.51463569051967
"Coriobacteriaceae_unclassified",2.36276139667364,2.36276139667364,2.36276139667364
"Escherichia.Shigella",2.12462257685314,2.12462257685314,2.12462257685314
"Clostridiales_unclassified",2.09413943037246,2.09413943037246,2.09413943037246
"Lachnospiraceae_unclassified",2.07936444123609,2.07936444123609,2.07936444123609
"Bacteria_unclassified",1.92096607359049,1.92096607359049,1.92096607359049
"Ruminococcus2",1.61984667956623,1.61984667956623,1.61984667956623
"Parabacteroides",1.6093291611723,1.6093291611723,1.6093291611723
"Butyricicoccus",1.5949613739401,1.5949613739401,1.5949613739401
"Bifidobacterium",1.54225806516502,1.54225806516502,1.54225806516502
"Blautia",1.53162831435131,1.53162831435131,1.53162831435131
"Clostridia_unclassified",1.52078417567406,1.52078417567406,1.52078417567406
"Porphyromonas",1.43583784481792,1.43583784481792,1.43583784481792
"Fusobacterium",1.33669266670007,1.33669266670007,1.33669266670007
"Firmicutes_unclassified",1.32765892678985,1.32765892678985,1.32765892678985
"Streptococcus",1.28936944558951,1.28936944558951,1.28936944558951
"Dorea",1.28831364218791,1.28831364218791,1.28831364218791
"Alistipes",1.27848900781353,1.27848900781353,1.27848900781353
"Clostridium_XI",1.23653358111006,1.23653358111006,1.23653358111006
"Acidaminococcus",1.22114362800081,1.22114362800081,1.22114362800081
"Clostridium_IV",1.19319126081337,1.19319126081337,1.19319126081337
"Peptostreptococcus",1.15539357079012,1.15539357079012,1.15539357079012
"Eggerthella",1.13490999775882,1.13490999775882,1.13490999775882
"Oscillibacter",1.13201003346101,1.13201003346101,1.13201003346101
"Flavonifractor",1.12171705792125,1.12171705792125,1.12171705792125
"Roseburia",1.1066385116617,1.1066385116617,1.1066385116617
"Lachnospira",1.08705267830291,1.08705267830291,1.08705267830291
"Clostridiaceae_1_unclassified",1.05199227753389,1.05199227753389,1.05199227753389
"Ruminococcus",1.04513766683508,1.04513766683508,1.04513766683508
"Erysipelotrichaceae_unclassified",1.04085268742243,1.04085268742243,1.04085268742243
"Collinsella",0.991443817013973,0.991443817013973,0.991443817013973
"Clostridium_XVIII",0.873463322559794,0.873463322559794,0.873463322559794
"Actinomyces",0.871000125909194,0.871000125909194,0.871000125909194
"Porphyromonadaceae_unclassified",0.814014858415457,0.814014858415457,0.814014858415457
"Selenomonadales_unclassified",0.801057801415178,0.801057801415178,0.801057801415178
"Veillonella",0.783233003760076,0.783233003760076,0.783233003760076
"Phascolarctobacterium",0.781347900204346,0.781347900204346,0.781347900204346
"Atopobium",0.743734486851931,0.743734486851931,0.743734486851931
"Haemophilus",0.739074090286663,0.739074090286663,0.739074090286663
"Lactobacillales_unclassified",0.70433058570996,0.70433058570996,0.70433058570996
"Granulicatella",0.700426468062695,0.700426468062695,0.700426468062695
"Clostridium_XlVb",0.653623167838506,0.653623167838506,0.653623167838506
"Actinobacteria_unclassified",0.621368564023075,0.621368564023075,0.621368564023075
"Barnesiella",0.616867717833982,0.616867717833982,0.616867717833982
"Turicibacter",0.60950836420949,0.60950836420949,0.60950836420949
"Lactobacillus",0.608205519267764,0.608205519267764,0.608205519267764
"Klebsiella",0.6053769470944,0.6053769470944,0.6053769470944
"Dialister",0.597484230833467,0.597484230833467,0.597484230833467
"Bacteroidales_unclassified",0.578579152525316,0.578579152525316,0.578579152525316
"Prevotella",0.562642950072594,0.562642950072594,0.562642950072594
"Peptostreptococcaceae_unclassified",0.554374986838964,0.554374986838964,0.554374986838964
"Prevotellaceae_unclassified",0.527560521927727,0.527560521927727,0.527560521927727
"Leptotrichia",0.526932217480514,0.526932217480514,0.526932217480514
"Bacteroidetes_unclassified",0.523778958788101,0.523778958788101,0.523778958788101
"Bilophila",0.511966293979595,0.511966293979595,0.511966293979595
"Clostridium_sensu_stricto",0.507436689039027,0.507436689039027,0.507436689039027
"Clostridium_XlVa",0.494050815259684,0.494050815259684,0.494050815259684
"Streptococcaceae_unclassified",0.492936175775761,0.492936175775761,0.492936175775761
"Megasphaera",0.485414478436082,0.485414478436082,0.485414478436082
"Paraprevotella",0.482245321240119,0.482245321240119,0.482245321240119
"Odoribacter",0.479726820153995,0.479726820153995,0.479726820153995
"Finegoldia",0.479314081513428,0.479314081513428,0.479314081513428
"Gemella",0.463716965253931,0.463716965253931,0.463716965253931
"Xanthomonadaceae_unclassified",0.455887679792461,0.455887679792461,0.455887679792461
"Actinomycetales_unclassified",0.455593488938986,0.455593488938986,0.455593488938986
"Bifidobacteriaceae_unclassified",0.447321596452417,0.447321596452417,0.447321596452417
"Burkholderiales_unclassified",0.446741006778017,0.446741006778017,0.446741006778017
"Butyricimonas",0.439528157696994,0.439528157696994,0.439528157696994
"Parasutterella",0.433469068001462,0.433469068001462,0.433469068001462
"Sutterella",0.433397922660595,0.433397922660595,0.433397922660595
"Slackia",0.42598230739402,0.42598230739402,0.42598230739402
"Fusobacteriaceae_unclassified",0.39194481141398,0.39194481141398,0.39194481141398
"Lactococcus",0.386839659630858,0.386839659630858,0.386839659630858
"Anaerococcus",0.383713131593985,0.383713131593985,0.383713131593985
"Anaerotruncus",0.380142447566653,0.380142447566653,0.380142447566653
"Pasteurellaceae_unclassified",0.376921657780497,0.376921657780497,0.376921657780497
"Anaerofustis",0.364446312785439,0.364446312785439,0.364446312785439
"Allisonella",0.349308937891931,0.349308937891931,0.349308937891931
"Enterobacteriaceae_unclassified",0.346684623548474,0.346684623548474,0.346684623548474
"Parvimonas",0.343593991227569,0.343593991227569,0.343593991227569
"Howardella",0.33759749372846,0.33759749372846,0.33759749372846
"Marvinbryantia",0.325062677696927,0.325062677696927,0.325062677696927
"Gordonibacter",0.320865326500353,0.320865326500353,0.320865326500353
"Coprobacillus",0.31818228999717,0.31818228999717,0.31818228999717
"Desulfovibrio",0.312063090256184,0.312063090256184,0.312063090256184
