"otu","mda_median","iqr25","iqr75","study","rank"
"Porphyromonas",6.83788031320818,6.83788031320818,6.83788031320818,"baxter","1"
"Peptostreptococcus",6.17964981981483,6.17964981981483,6.17964981981483,"baxter","2"
"Parvimonas",4.19751127112127,4.19751127112127,4.19751127112127,"baxter","3"
"Gemella",2.79820391245175,2.79820391245175,2.79820391245175,"baxter","4"
"Collinsella",2.75990085094102,2.75990085094102,2.75990085094102,"baxter","5"
"Bacteroides",2.68655030769055,2.68655030769055,2.68655030769055,"baxter","6"
"Fusobacterium",2.60525151974616,2.60525151974616,2.60525151974616,"baxter","7"
"Pasteurellaceae_unclassified",2.51057126166907,2.51057126166907,2.51057126166907,"baxter","8"
"Lachnospiraceae_unclassified",2.36803662399733,2.36803662399733,2.36803662399733,"baxter","9"
"Anaerostipes",2.3229124728796,2.3229124728796,2.3229124728796,"baxter","10"
"Clostridium_XlVb",2.14029161152991,2.14029161152991,2.14029161152991,"baxter","11"
"Ruminococcus",2.12098322136274,2.12098322136274,2.12098322136274,"baxter","12"
"Clostridiales_unclassified",1.89799321754172,1.89799321754172,1.89799321754172,"baxter","13"
"Bilophila",1.85128465961291,1.85128465961291,1.85128465961291,"baxter","14"
"Streptococcus",1.83192209850584,1.83192209850584,1.83192209850584,"baxter","15"
"Clostridium_XVIII",1.78405597014097,1.78405597014097,1.78405597014097,"baxter","16"
"Clostridium_XlVa",1.73941973394954,1.73941973394954,1.73941973394954,"baxter","17"
"Akkermansia",1.73321653873116,1.73321653873116,1.73321653873116,"baxter","18"
"Clostridium_XI",1.67670489322354,1.67670489322354,1.67670489322354,"baxter","19"
"Blautia",1.62273267125502,1.62273267125502,1.62273267125502,"baxter","20"
"Bacteria_unclassified",1.58127179142143,1.58127179142143,1.58127179142143,"baxter","21"
"Oscillibacter",1.55361288969149,1.55361288969149,1.55361288969149,"baxter","22"
"Faecalibacterium",1.53465359450795,1.53465359450795,1.53465359450795,"baxter","23"
"Roseburia",1.529144399161,1.529144399161,1.529144399161,"baxter","24"
"Actinomyces",1.51948386848421,1.51948386848421,1.51948386848421,"baxter","25"
"Ruminococcaceae_unclassified",1.50547073951623,1.50547073951623,1.50547073951623,"baxter","26"
"Alistipes",1.49260970402691,1.49260970402691,1.49260970402691,"baxter","27"
"Clostridium_sensu_stricto",1.45073586217608,1.45073586217608,1.45073586217608,"baxter","28"
"Coriobacteriaceae_unclassified",1.44568253996313,1.44568253996313,1.44568253996313,"baxter","29"
"Odoribacter",1.44507580479931,1.44507580479931,1.44507580479931,"baxter","30"
"Prevotella",1.43433881214196,1.43433881214196,1.43433881214196,"baxter","31"
"Butyricicoccus",1.40448782223297,1.40448782223297,1.40448782223297,"baxter","32"
"Ruminococcus2",1.40007955030753,1.40007955030753,1.40007955030753,"baxter","33"
"Clostridium_IV",1.38917331299609,1.38917331299609,1.38917331299609,"baxter","34"
