"otu","mda_median","iqr25","iqr75"
"Lachnospiraceae_unclassified",1.59149899305072,1.59149899305072,1.59149899305072
"Clostridiales_unclassified",1.50264028189299,1.50264028189299,1.50264028189299
"Firmicutes_unclassified",1.34064221681562,1.34064221681562,1.34064221681562
"Anaerostipes",1.11253520399368,1.11253520399368,1.11253520399368
"Peptostreptococcaceae_unclassified",1.01999902420598,1.01999902420598,1.01999902420598
"Bacteroidales_unclassified",1.01938317234068,1.01938317234068,1.01938317234068
"Coprococcus",1.01184744173832,1.01184744173832,1.01184744173832
"Coriobacteriaceae_unclassified",0.934397018621144,0.934397018621144,0.934397018621144
"Escherichia.Shigella",0.852076996356184,0.852076996356184,0.852076996356184
"Parabacteroides",0.825702510127726,0.825702510127726,0.825702510127726
"Roseburia",0.752314216316838,0.752314216316838,0.752314216316838
"Butyricicoccus",0.699225776658449,0.699225776658449,0.699225776658449
"Bacteroides",0.685498182692037,0.685498182692037,0.685498182692037
"Clostridiaceae_1_unclassified",0.669086290818115,0.669086290818115,0.669086290818115
"Clostridia_unclassified",0.63990353495832,0.63990353495832,0.63990353495832
"Peptostreptococcus",0.57623155232618,0.57623155232618,0.57623155232618
"Clostridium_XlVa",0.540807968568651,0.540807968568651,0.540807968568651
"Clostridium_IV",0.525670891977365,0.525670891977365,0.525670891977365
"Bacteria_unclassified",0.52437143962324,0.52437143962324,0.52437143962324
"Oscillibacter",0.516612641993601,0.516612641993601,0.516612641993601
"Faecalibacterium",0.508062899835158,0.508062899835158,0.508062899835158
"Bilophila",0.47510481687208,0.47510481687208,0.47510481687208
"Ruminococcus",0.47437380280529,0.47437380280529,0.47437380280529
"Rikenellaceae_unclassified",0.458792461647024,0.458792461647024,0.458792461647024
"Alistipes",0.455480739669446,0.455480739669446,0.455480739669446
"Ruminococcus2",0.450149704108841,0.450149704108841,0.450149704108841
"Erysipelotrichaceae_unclassified",0.450033905878748,0.450033905878748,0.450033905878748
"Akkermansia",0.44601944292968,0.44601944292968,0.44601944292968
"Bacteroidetes_unclassified",0.444652771677875,0.444652771677875,0.444652771677875
"Blautia",0.442269657666771,0.442269657666771,0.442269657666771
"Alphaproteobacteria_unclassified",0.441224658700375,0.441224658700375,0.441224658700375
"Anaerotruncus",0.440025275058036,0.440025275058036,0.440025275058036
"Bifidobacteriaceae_unclassified",0.432942752947958,0.432942752947958,0.432942752947958
"Odoribacter",0.415613413123257,0.415613413123257,0.415613413123257
"Dialister",0.404894906644321,0.404894906644321,0.404894906644321
"Porphyromonadaceae_unclassified",0.403484380836513,0.403484380836513,0.403484380836513
"Phascolarctobacterium",0.389438975527969,0.389438975527969,0.389438975527969
"Clostridium_XI",0.389313554893114,0.389313554893114,0.389313554893114
"Flavonifractor",0.383664289758205,0.383664289758205,0.383664289758205
"Barnesiella",0.377102086333582,0.377102086333582,0.377102086333582
"Cloacibacillus",0.377022554457766,0.377022554457766,0.377022554457766
"Bifidobacterium",0.375156799849972,0.375156799849972,0.375156799849972
"Lachnospira",0.374134465151525,0.374134465151525,0.374134465151525
"Collinsella",0.373949863852741,0.373949863852741,0.373949863852741
"Clostridium_XlVb",0.372462157310509,0.372462157310509,0.372462157310509
"Dorea",0.372406677532963,0.372406677532963,0.372406677532963
"Ruminococcaceae_unclassified",0.367490487034274,0.367490487034274,0.367490487034274
"Sutterella",0.357870442498721,0.357870442498721,0.357870442498721
"Veillonella",0.356523095953836,0.356523095953836,0.356523095953836
"Enterobacteriaceae_unclassified",0.345016444615591,0.345016444615591,0.345016444615591
"Streptococcus",0.311842100254163,0.311842100254163,0.311842100254163
"Fusobacterium",0.299149953242905,0.299149953242905,0.299149953242905
"Clostridium_sensu_stricto",0.287596626356983,0.287596626356983,0.287596626356983
"Prevotella",0.278675685340799,0.278675685340799,0.278675685340799
"Holdemania",0.258474523452736,0.258474523452736,0.258474523452736
"Gemmiger",0.254856117930788,0.254856117930788,0.254856117930788
"Turicibacter",0.251509759714054,0.251509759714054,0.251509759714054
"Butyricimonas",0.240956079758635,0.240956079758635,0.240956079758635
"Howardella",0.225864983282968,0.225864983282968,0.225864983282968
"Clostridium_XVIII",0.21155340713851,0.21155340713851,0.21155340713851
