otu,mda_median,iqr25,iqr75,study
Peptostreptococcus,11.640827827725355,11.640827827725355,11.640827827725355,wang
Escherichia.Shigella,10.301755021063036,10.301755021063036,10.301755021063036,wang
Clostridium_XI,7.488040090456366,7.488040090456366,7.488040090456366,wang
Enterobacteriaceae_unclassified,7.081850211104461,7.081850211104461,7.081850211104461,wang
Ruminococcus,3.8022051899991354,3.8022051899991354,3.8022051899991354,wang
Fusobacterium,3.576692604184706,3.576692604184706,3.576692604184706,wang
Porphyromonas,3.3677357219191464,3.3677357219191464,3.3677357219191464,wang
Parvimonas,1.622410967649215,1.622410967649215,1.622410967649215,wang
Ruminococcus,1.7346138528138542,1.7346138528138542,1.7346138528138542,weir
Enterobacteriaceae_unclassified,0.7478991341991347,0.7478991341991347,0.7478991341991347,weir
Clostridium_XI,0.6562985569985569,0.6562985569985569,0.6562985569985569,weir
Escherichia.Shigella,0.41178340548340564,0.41178340548340564,0.41178340548340564,weir
Fusobacterium,0.37164343434343444,0.37164343434343444,0.37164343434343444,weir
Parvimonas,0.11650721500721499,0.11650721500721499,0.11650721500721499,weir
Porphyromonas,0.10817705627705627,0.10817705627705627,0.10817705627705627,weir
Peptostreptococcus,0.024494805194805194,0.024494805194805194,0.024494805194805194,weir
Clostridium_XI,20.355588646824323,20.355588646824323,20.355588646824323,ahn
Escherichia.Shigella,18.47704074436741,18.47704074436741,18.47704074436741,ahn
Ruminococcus,15.165732557725017,15.165732557725017,15.165732557725017,ahn
Fusobacterium,7.054012391495227,7.054012391495227,7.054012391495227,ahn
Porphyromonas,5.982619966157955,5.982619966157955,5.982619966157955,ahn
Peptostreptococcus,5.247552888507618,5.247552888507618,5.247552888507618,ahn
Enterobacteriaceae_unclassified,4.290756333317377,4.290756333317377,4.290756333317377,ahn
Parvimonas,2.728105155984992,2.728105155984992,2.728105155984992,ahn
Fusobacterium,10.211186103568092,10.211186103568092,10.211186103568092,zeller
Peptostreptococcus,6.993607149213869,6.993607149213869,6.993607149213869,zeller
Ruminococcus,6.1314944203970985,6.1314944203970985,6.1314944203970985,zeller
Parvimonas,5.667578177726848,5.667578177726848,5.667578177726848,zeller
Escherichia.Shigella,5.305733172249478,5.305733172249478,5.305733172249478,zeller
Enterobacteriaceae_unclassified,4.748820950822813,4.748820950822813,4.748820950822813,zeller
Clostridium_XI,3.7795558219034286,3.7795558219034286,3.7795558219034286,zeller
Porphyromonas,1.684837390931574,1.684837390931574,1.684837390931574,zeller
Ruminococcus,23.0631227993206,23.0631227993206,23.0631227993206,baxter
Clostridium_XI,22.622192356067377,22.622192356067377,22.622192356067377,baxter
Porphyromonas,21.893392839351844,21.893392839351844,21.893392839351844,baxter
Escherichia.Shigella,18.96780146567159,18.96780146567159,18.96780146567159,baxter
Peptostreptococcus,17.264126006236975,17.264126006236975,17.264126006236975,baxter
Enterobacteriaceae_unclassified,14.196551913775014,14.196551913775014,14.196551913775014,baxter
Parvimonas,11.740063846950926,11.740063846950926,11.740063846950926,baxter
Fusobacterium,10.257045079591308,10.257045079591308,10.257045079591308,baxter
Ruminococcus,6.952203874243666,6.952203874243666,6.952203874243666,hale
Clostridium_XI,4.128306820549197,4.128306820549197,4.128306820549197,hale
Fusobacterium,2.4406925511444943,2.4406925511444943,2.4406925511444943,hale
Peptostreptococcus,1.4516771622712155,1.4516771622712155,1.4516771622712155,hale
Enterobacteriaceae_unclassified,1.2492464987758862,1.2492464987758862,1.2492464987758862,hale
Escherichia.Shigella,0.08552828474067413,0.08552828474067413,0.08552828474067413,hale
Parvimonas,0.056264809831397554,0.056264809831397554,0.056264809831397554,hale
Porphyromonas,0,0,0,hale
Ruminococcus,8.844494905583577,8.844494905583577,8.844494905583577,flemer
Escherichia.Shigella,8.682167731616973,8.682167731616973,8.682167731616973,flemer
Clostridium_XI,7.441214160747137,7.441214160747137,7.441214160747137,flemer
Enterobacteriaceae_unclassified,4.892137162244902,4.892137162244902,4.892137162244902,flemer
Fusobacterium,3.021721297373298,3.021721297373298,3.021721297373298,flemer
Peptostreptococcus,2.6839904992264536,2.6839904992264536,2.6839904992264536,flemer
Porphyromonas,1.9027204597782283,1.9027204597782283,1.9027204597782283,flemer
Parvimonas,1.0312333127887323,1.0312333127887323,1.0312333127887323,flemer
