otu,mda_median,iqr25,iqr75,study,rank
Pelomonas,0.190666666666667,0.190666666666667,0.190666666666667,burns,1
Parabacteroides,0.0870666666666667,0.0870666666666667,0.0870666666666667,burns,2
Clostridiales_unclassified,0.0813333333333333,0.0813333333333333,0.0813333333333333,burns,3
Bacillales_unclassified,0.0787333333333333,0.0787333333333333,0.0787333333333333,burns,4
Bacteroides,0.0703333333333333,0.0703333333333333,0.0703333333333333,burns,5
Comamonadaceae_unclassified,0.0696666666666667,0.0696666666666667,0.0696666666666667,burns,6
Staphylococcus,0.0678666666666667,0.0678666666666667,0.0678666666666667,burns,7
Subdoligranulum,0.0645333333333333,0.0645333333333333,0.0645333333333333,burns,8
Bacilli_unclassified,0.0642,0.0642,0.0642,burns,9
Lactobacillales_unclassified,0.0596666666666667,0.0596666666666667,0.0596666666666667,burns,10
Streptococcus,0.0593333333333333,0.0593333333333333,0.0593333333333333,burns,11
Propionibacterium,0.0563333333333333,0.0563333333333333,0.0563333333333333,burns,12
Bacteroidetes_unclassified,0.051,0.051,0.051,burns,13
Erysipelotrichaceae_unclassified,0.0502,0.0502,0.0502,burns,14
Parvimonas,0.0458666666666667,0.0458666666666667,0.0458666666666667,burns,15
Actinomycetales_unclassified,0.0426666666666667,0.0426666666666667,0.0426666666666667,burns,16
Ruminococcaceae_unclassified,0.0404666666666667,0.0404666666666667,0.0404666666666667,burns,17
Chitinophagaceae_unclassified,0.0388666666666667,0.0388666666666667,0.0388666666666667,burns,18
Dialister,0.0372,0.0372,0.0372,burns,19
Howardella,0.036,0.036,0.036,burns,20
Staphylococcaceae_unclassified,0.0353333333333333,0.0353333333333333,0.0353333333333333,burns,21
Burkholderiales_unclassified,0.0343333333333333,0.0343333333333333,0.0343333333333333,burns,22
Prevotellaceae_unclassified,0.0328,0.0328,0.0328,burns,23
Pasteurellaceae_unclassified,0.032,0.032,0.032,burns,24
Fusobacterium,0.0318,0.0318,0.0318,burns,25
Enterobacteriaceae_unclassified,0.0303333333333333,0.0303333333333333,0.0303333333333333,burns,26
Porphyromonadaceae_unclassified,0.03,0.03,0.03,burns,27
Streptococcaceae_unclassified,0.0278,0.0278,0.0278,burns,28
Jonquetella,0.0276,0.0276,0.0276,burns,29
Bacteria_unclassified,0.0273333333333333,0.0273333333333333,0.0273333333333333,burns,30
Alloprevotella,0.0256666666666667,0.0256666666666667,0.0256666666666667,burns,31
Burkholderiaceae_unclassified,0.0256666666666667,0.0256666666666667,0.0256666666666667,burns,32
Fusobacteriaceae_unclassified,0.0246666666666667,0.0246666666666667,0.0246666666666667,burns,33
Dorea,0.0234666666666667,0.0234666666666667,0.0234666666666667,burns,34
Lactobacillus,0.0226666666666667,0.0226666666666667,0.0226666666666667,burns,35
Porphyromonas,0.0221333333333333,0.0221333333333333,0.0221333333333333,burns,36
Alistipes,0.0208,0.0208,0.0208,burns,37
Bifidobacteriaceae_unclassified,0.0202,0.0202,0.0202,burns,38
Kocuria,0.0195333333333333,0.0195333333333333,0.0195333333333333,burns,39
Ralstonia,0.0193333333333333,0.0193333333333333,0.0193333333333333,burns,40
Barnesiella,0.0193333333333333,0.0193333333333333,0.0193333333333333,burns,41
Clostridium_XIX,0.0193333333333333,0.0193333333333333,0.0193333333333333,burns,42
Veillonellaceae_unclassified,0.0186666666666667,0.0186666666666667,0.0186666666666667,burns,43
Catenibacterium,0.0183333333333333,0.0183333333333333,0.0183333333333333,burns,44
Gemella,0.0183333333333333,0.0183333333333333,0.0183333333333333,burns,45
