otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu000012,2.061612074024488,1.937959304730765,2.2083510557993553,Firmicutes,Lachnospiraceae,Lachnospiraceae,flemer
Otu000160,1.436442747303659,1.3317837283571783,1.523535216687162,Firmicutes,Clostridiales,Clostridiales,flemer
Otu000016,1.3606592819272438,1.2615091279057116,1.4420655228262063,Proteobacteria,Pasteurellaceae,Pasteurellaceae,flemer
Otu000027,1.0488198995895546,0.9720961392478032,1.117164035234008,Firmicutes,Ruminococcaceae,Ruminococcaceae,flemer
Otu000024,0.9822917754898239,0.8847474412568498,1.0707999517832623,Firmicutes,Streptococcaceae,Streptococcaceae,flemer
Otu000054,0.8675554827839465,0.79872705280408,0.9409772828659633,Firmicutes,Lachnospiraceae,Lachnospiraceae,flemer
Otu000026,0.8179488263288167,0.7439171304833774,0.88610369129674,Firmicutes,Lachnospiraceae,Lachnospiraceae,flemer
Otu000184,0.7881492862939941,0.7065408554448649,0.8397764212511822,Firmicutes,Ruminococcaceae,Ruminococcaceae,flemer
Otu000141,0.7535825609369704,0.6789149799192492,0.8143514776737355,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,flemer
Otu000080,0.7480035262502864,0.6900267743756117,0.822286098430001,Firmicutes,Streptococcaceae,Streptococcaceae,flemer
Otu000029,0.6900854019935404,0.6368187203377241,0.7497937325705485,Proteobacteria,Halomonadaceae,Halomonadaceae,flemer
Otu000070,0.6886288622868748,0.6213289100630539,0.7522666954736582,Firmicutes,Ruminococcaceae,Ruminococcaceae,flemer
Otu000003,0.650478497532021,0.5770613685370651,0.7037264034981108,Firmicutes,Ruminococcaceae,Ruminococcaceae,flemer
Otu000084,0.6277397214859073,0.5715017229242252,0.7063587808268524,Firmicutes,Lachnospiraceae,Lachnospiraceae,flemer
Otu000018,0.6012363286642812,0.5513724089286586,0.6499413542316146,Proteobacteria,Sutterellaceae,Sutterellaceae,flemer
Otu000004,0.5475821396564207,0.49028817471990727,0.6148189652024494,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,flemer
Otu000001,0.49683039550519914,0.4617002981173937,0.5282294474954562,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,flemer
Otu000078,0.49453536747857746,0.4459034518201025,0.5391291783555848,Proteobacteria,Shewanellaceae,Shewanellaceae,flemer
Otu000017,0.48728746290282243,0.43691093649459234,0.5463036979042553,Firmicutes,Ruminococcaceae,Ruminococcaceae,flemer
