"measure","study","high_N","high_Y","low_N","low_Y"
"Abiotrophia","flemer",8,1,95,36
"Abiotrophia","lu",1,0,19,20
"Acetobacteraceae_unclassified","flemer",0,0,103,37
"Acetobacteraceae_unclassified","lu",1,2,19,18
"Achromobacter","flemer",0,2,103,35
"Achromobacter","lu",1,4,19,16
"Acidaminococcaceae_unclassified","flemer",17,3,86,34
"Acidaminococcaceae_unclassified","lu",1,1,19,19
"Acidaminococcus","flemer",7,6,96,31
"Acidaminococcus","lu",1,1,19,19
"Acidovorax","flemer",5,2,98,35
"Acidovorax","lu",9,11,11,9
"Acinetobacter","flemer",0,0,103,37
"Acinetobacter","lu",7,13,13,7
"Actinobacteria_unclassified","flemer",4,0,99,37
"Actinobacteria_unclassified","lu",7,11,13,9
"Actinobaculum","flemer",0,0,103,37
"Actinobaculum","lu",1,0,19,20
"Actinomyces","flemer",47,23,56,14
"Actinomyces","lu",9,7,11,13
"Actinomycetales_unclassified","flemer",11,4,92,33
"Actinomycetales_unclassified","lu",14,6,6,14
"Aerococcus","flemer",2,0,101,37
"Aerococcus","lu",10,10,10,10
"Aeromonas","flemer",2,0,101,37
"Aeromonas","lu",11,9,9,11
"Aggregatibacter","flemer",12,10,91,27
"Aggregatibacter","lu",6,3,14,17
"Akkermansia","flemer",50,19,53,18
"Akkermansia","lu",4,5,16,15
"Alistipes","flemer",47,23,56,14
"Alistipes","lu",11,9,9,11
"Allisonella","flemer",12,8,91,29
"Allisonella","lu",3,4,17,16
"Alloprevotella","flemer",22,8,81,29
"Alloprevotella","lu",6,5,14,15
"Alphaproteobacteria_unclassified","flemer",41,9,62,28
"Alphaproteobacteria_unclassified","lu",2,5,18,15
"Alteromonadales_unclassified","flemer",38,13,65,24
"Alteromonadales_unclassified","lu",0,1,20,19
"Anaerococcus","flemer",9,3,94,34
"Anaerococcus","lu",3,4,17,16
"Anaerofustis","flemer",5,6,98,31
"Anaerofustis","lu",1,1,19,19
"Anaeroplasma","flemer",0,0,103,37
"Anaeroplasma","lu",0,1,20,19
"Anaerostipes","flemer",68,2,35,35
"Anaerostipes","lu",13,7,7,13
"Anaerotruncus","flemer",40,16,63,21
"Anaerotruncus","lu",3,1,17,19
"Anaerovorax","flemer",1,0,102,37
"Anaerovorax","lu",0,1,20,19
"Asaccharobacter","flemer",35,9,68,28
"Asaccharobacter","lu",3,1,17,19
"Atopobium","flemer",15,7,88,30
"Atopobium","lu",5,6,15,14
"Bacillales_unclassified","flemer",1,1,102,36
"Bacillales_unclassified","lu",9,11,11,9
"Bacilli_unclassified","flemer",3,0,100,37
"Bacilli_unclassified","lu",9,11,11,9
"Bacteria_unclassified","flemer",49,21,54,16
"Bacteria_unclassified","lu",11,9,9,11
"Bacteroidales_unclassified","flemer",46,24,57,13
"Bacteroidales_unclassified","lu",11,9,9,11
"Bacteroides","flemer",55,15,48,22
"Bacteroides","lu",10,10,10,10
"Bacteroidetes_unclassified","flemer",47,22,56,15
"Bacteroidetes_unclassified","lu",10,10,10,10
"Barnesiella","flemer",50,20,53,17
"Barnesiella","lu",5,5,15,15
"Betaproteobacteria_unclassified","flemer",27,13,76,24
"Betaproteobacteria_unclassified","lu",7,9,13,11
"Bifidobacteriaceae_unclassified","flemer",21,6,82,31
"Bifidobacteriaceae_unclassified","lu",1,0,19,20
"Bifidobacterium","flemer",48,22,55,15
"Bifidobacterium","lu",9,11,11,9
"Bilophila","flemer",44,10,59,27
"Bilophila","lu",9,11,11,9
