"sens","spec","type","roc_type","study"
1,0,"actual_mod","best","brim"
1,0.166666666666667,"actual_mod","best","brim"
0.833333333333333,0.166666666666667,"actual_mod","best","brim"
0.666666666666667,0.166666666666667,"actual_mod","best","brim"
0.666666666666667,0.333333333333333,"actual_mod","best","brim"
0.5,0.5,"actual_mod","best","brim"
0.5,0.666666666666667,"actual_mod","best","brim"
0.5,0.833333333333333,"actual_mod","best","brim"
0.333333333333333,0.833333333333333,"actual_mod","best","brim"
0.333333333333333,1,"actual_mod","best","brim"
0.166666666666667,1,"actual_mod","best","brim"
0,1,"actual_mod","best","brim"
1,0,"actual_mod","worst","brim"
0.833333333333333,0,"actual_mod","worst","brim"
0.833333333333333,0.166666666666667,"actual_mod","worst","brim"
0.833333333333333,0.333333333333333,"actual_mod","worst","brim"
0.833333333333333,0.5,"actual_mod","worst","brim"
0.666666666666667,0.5,"actual_mod","worst","brim"
0.666666666666667,0.666666666666667,"actual_mod","worst","brim"
0.5,0.833333333333333,"actual_mod","worst","brim"
0.333333333333333,0.833333333333333,"actual_mod","worst","brim"
0.166666666666667,0.833333333333333,"actual_mod","worst","brim"
0,0.833333333333333,"actual_mod","worst","brim"
0,1,"actual_mod","worst","brim"
1,0,"random_mod","best","brim"
0.833333333333333,0,"random_mod","best","brim"
0.666666666666667,0,"random_mod","best","brim"
0.666666666666667,0.166666666666667,"random_mod","best","brim"
0.666666666666667,0.333333333333333,"random_mod","best","brim"
0.666666666666667,0.5,"random_mod","best","brim"
0.666666666666667,0.666666666666667,"random_mod","best","brim"
0.666666666666667,0.833333333333333,"random_mod","best","brim"
0.666666666666667,1,"random_mod","best","brim"
0.5,1,"random_mod","best","brim"
0.333333333333333,1,"random_mod","best","brim"
0.166666666666667,1,"random_mod","best","brim"
0,1,"random_mod","best","brim"
1,0,"random_mod","worst","brim"
0.833333333333333,0,"random_mod","worst","brim"
0.833333333333333,0.166666666666667,"random_mod","worst","brim"
0.833333333333333,0.333333333333333,"random_mod","worst","brim"
0.833333333333333,0.5,"random_mod","worst","brim"
0.666666666666667,0.5,"random_mod","worst","brim"
0.5,0.5,"random_mod","worst","brim"
0.5,0.666666666666667,"random_mod","worst","brim"
0.333333333333333,0.666666666666667,"random_mod","worst","brim"
0.166666666666667,0.666666666666667,"random_mod","worst","brim"
0.166666666666667,0.833333333333333,"random_mod","worst","brim"
0.166666666666667,1,"random_mod","worst","brim"
0,1,"random_mod","worst","brim"
1,0,"actual_mod","best","zeller"
1,0.02,"actual_mod","best","zeller"
0.972972972972973,0.02,"actual_mod","best","zeller"
0.972972972972973,0.04,"actual_mod","best","zeller"
0.972972972972973,0.06,"actual_mod","best","zeller"
0.972972972972973,0.08,"actual_mod","best","zeller"
0.972972972972973,0.1,"actual_mod","best","zeller"
0.945945945945946,0.1,"actual_mod","best","zeller"
0.918918918918919,0.1,"actual_mod","best","zeller"
0.918918918918919,0.12,"actual_mod","best","zeller"
0.891891891891892,0.12,"actual_mod","best","zeller"
0.891891891891892,0.14,"actual_mod","best","zeller"
0.891891891891892,0.18,"actual_mod","best","zeller"
0.891891891891892,0.2,"actual_mod","best","zeller"
0.864864864864865,0.2,"actual_mod","best","zeller"
0.837837837837838,0.24,"actual_mod","best","zeller"
0.837837837837838,0.26,"actual_mod","best","zeller"
0.837837837837838,0.28,"actual_mod","best","zeller"
0.810810810810811,0.28,"actual_mod","best","zeller"
0.810810810810811,0.32,"actual_mod","best","zeller"
0.783783783783784,0.32,"actual_mod","best","zeller"
0.783783783783784,0.34,"actual_mod","best","zeller"
0.756756756756757,0.34,"actual_mod","best","zeller"
0.702702702702703,0.34,"actual_mod","best","zeller"
0.648648648648649,0.34,"actual_mod","best","zeller"
0.621621621621622,0.34,"actual_mod","best","zeller"
0.621621621621622,0.36,"actual_mod","best","zeller"
0.621621621621622,0.4,"actual_mod","best","zeller"
0.621621621621622,0.44,"actual_mod","best","zeller"
0.594594594594595,0.46,"actual_mod","best","zeller"
0.567567567567568,0.46,"actual_mod","best","zeller"
0.567567567567568,0.48,"actual_mod","best","zeller"
0.540540540540541,0.48,"actual_mod","best","zeller"
0.540540540540541,0.5,"actual_mod","best","zeller"
0.540540540540541,0.52,"actual_mod","best","zeller"
0.513513513513513,0.52,"actual_mod","best","zeller"
0.513513513513513,0.54,"actual_mod","best","zeller"
0.513513513513513,0.56,"actual_mod","best","zeller"
0.513513513513513,0.58,"actual_mod","best","zeller"
0.513513513513513,0.6,"actual_mod","best","zeller"
0.513513513513513,0.64,"actual_mod","best","zeller"
0.486486486486487,0.64,"actual_mod","best","zeller"
0.459459459459459,0.64,"actual_mod","best","zeller"
0.459459459459459,0.66,"actual_mod","best","zeller"
0.459459459459459,0.68,"actual_mod","best","zeller"
0.432432432432432,0.7,"actual_mod","best","zeller"
0.405405405405405,0.7,"actual_mod","best","zeller"
0.378378378378378,0.7,"actual_mod","best","zeller"
0.351351351351351,0.7,"actual_mod","best","zeller"
0.351351351351351,0.74,"actual_mod","best","zeller"
0.351351351351351,0.76,"actual_mod","best","zeller"
0.324324324324324,0.76,"actual_mod","best","zeller"
0.324324324324324,0.78,"actual_mod","best","zeller"
0.324324324324324,0.82,"actual_mod","best","zeller"
0.297297297297297,0.82,"actual_mod","best","zeller"
0.27027027027027,0.82,"actual_mod","best","zeller"
0.243243243243243,0.82,"actual_mod","best","zeller"
0.243243243243243,0.84,"actual_mod","best","zeller"
0.216216216216216,0.84,"actual_mod","best","zeller"
0.189189189189189,0.86,"actual_mod","best","zeller"
0.162162162162162,0.86,"actual_mod","best","zeller"
0.162162162162162,0.88,"actual_mod","best","zeller"
0.135135135135135,0.88,"actual_mod","best","zeller"
0.135135135135135,0.9,"actual_mod","best","zeller"
0.108108108108108,0.9,"actual_mod","best","zeller"
0.0810810810810811,0.92,"actual_mod","best","zeller"
0.0540540540540541,0.92,"actual_mod","best","zeller"
0.0540540540540541,0.94,"actual_mod","best","zeller"
0.0540540540540541,0.96,"actual_mod","best","zeller"
0.027027027027027,0.96,"actual_mod","best","zeller"
0,0.98,"actual_mod","best","zeller"
0,1,"actual_mod","best","zeller"
1,0,"actual_mod","worst","zeller"
1,0.02,"actual_mod","worst","zeller"
1,0.04,"actual_mod","worst","zeller"
1,0.06,"actual_mod","worst","zeller"
1,0.08,"actual_mod","worst","zeller"
1,0.1,"actual_mod","worst","zeller"
1,0.12,"actual_mod","worst","zeller"
1,0.14,"actual_mod","worst","zeller"
0.945945945945946,0.14,"actual_mod","worst","zeller"
0.918918918918919,0.14,"actual_mod","worst","zeller"
0.918918918918919,0.16,"actual_mod","worst","zeller"
0.891891891891892,0.16,"actual_mod","worst","zeller"
0.891891891891892,0.18,"actual_mod","worst","zeller"
0.864864864864865,0.18,"actual_mod","worst","zeller"
0.864864864864865,0.2,"actual_mod","worst","zeller"
0.837837837837838,0.24,"actual_mod","worst","zeller"
0.810810810810811,0.26,"actual_mod","worst","zeller"
0.810810810810811,0.28,"actual_mod","worst","zeller"
0.810810810810811,0.3,"actual_mod","worst","zeller"
0.783783783783784,0.3,"actual_mod","worst","zeller"
0.783783783783784,0.32,"actual_mod","worst","zeller"
0.783783783783784,0.34,"actual_mod","worst","zeller"
0.783783783783784,0.36,"actual_mod","worst","zeller"
0.756756756756757,0.36,"actual_mod","worst","zeller"
0.702702702702703,0.36,"actual_mod","worst","zeller"
0.702702702702703,0.38,"actual_mod","worst","zeller"
0.675675675675676,0.38,"actual_mod","worst","zeller"
0.648648648648649,0.38,"actual_mod","worst","zeller"
0.621621621621622,0.38,"actual_mod","worst","zeller"
0.621621621621622,0.4,"actual_mod","worst","zeller"
0.621621621621622,0.42,"actual_mod","worst","zeller"
0.594594594594595,0.42,"actual_mod","worst","zeller"
0.594594594594595,0.44,"actual_mod","worst","zeller"
0.594594594594595,0.5,"actual_mod","worst","zeller"
0.567567567567568,0.5,"actual_mod","worst","zeller"
0.567567567567568,0.54,"actual_mod","worst","zeller"
0.540540540540541,0.54,"actual_mod","worst","zeller"
0.540540540540541,0.56,"actual_mod","worst","zeller"
0.513513513513513,0.56,"actual_mod","worst","zeller"
0.486486486486487,0.56,"actual_mod","worst","zeller"
0.486486486486487,0.58,"actual_mod","worst","zeller"
0.459459459459459,0.58,"actual_mod","worst","zeller"
0.405405405405405,0.58,"actual_mod","worst","zeller"
0.378378378378378,0.58,"actual_mod","worst","zeller"
0.378378378378378,0.6,"actual_mod","worst","zeller"
0.351351351351351,0.6,"actual_mod","worst","zeller"
0.351351351351351,0.62,"actual_mod","worst","zeller"
0.324324324324324,0.62,"actual_mod","worst","zeller"
0.297297297297297,0.64,"actual_mod","worst","zeller"
0.297297297297297,0.66,"actual_mod","worst","zeller"
0.297297297297297,0.68,"actual_mod","worst","zeller"
0.297297297297297,0.7,"actual_mod","worst","zeller"
0.27027027027027,0.72,"actual_mod","worst","zeller"
0.27027027027027,0.74,"actual_mod","worst","zeller"
0.27027027027027,0.76,"actual_mod","worst","zeller"
0.27027027027027,0.78,"actual_mod","worst","zeller"
0.243243243243243,0.78,"actual_mod","worst","zeller"
0.216216216216216,0.78,"actual_mod","worst","zeller"
0.216216216216216,0.8,"actual_mod","worst","zeller"
0.189189189189189,0.82,"actual_mod","worst","zeller"
0.189189189189189,0.84,"actual_mod","worst","zeller"
0.162162162162162,0.84,"actual_mod","worst","zeller"
0.108108108108108,0.84,"actual_mod","worst","zeller"
0.108108108108108,0.86,"actual_mod","worst","zeller"
0.0810810810810811,0.86,"actual_mod","worst","zeller"
0.0540540540540541,0.86,"actual_mod","worst","zeller"
0.0540540540540541,0.88,"actual_mod","worst","zeller"
0.0540540540540541,0.9,"actual_mod","worst","zeller"
0.0540540540540541,0.92,"actual_mod","worst","zeller"
0.0540540540540541,0.94,"actual_mod","worst","zeller"
0.0540540540540541,0.96,"actual_mod","worst","zeller"
0.027027027027027,0.96,"actual_mod","worst","zeller"
0,0.96,"actual_mod","worst","zeller"
0,0.98,"actual_mod","worst","zeller"
0,1,"actual_mod","worst","zeller"
1,0,"random_mod","best","zeller"
1,0.02,"random_mod","best","zeller"
0.972972972972973,0.02,"random_mod","best","zeller"
0.945945945945946,0.02,"random_mod","best","zeller"
0.945945945945946,0.04,"random_mod","best","zeller"
0.918918918918919,0.04,"random_mod","best","zeller"
0.891891891891892,0.04,"random_mod","best","zeller"
0.864864864864865,0.06,"random_mod","best","zeller"
0.864864864864865,0.08,"random_mod","best","zeller"
0.864864864864865,0.1,"random_mod","best","zeller"
0.864864864864865,0.12,"random_mod","best","zeller"
0.864864864864865,0.14,"random_mod","best","zeller"
0.864864864864865,0.18,"random_mod","best","zeller"
0.864864864864865,0.2,"random_mod","best","zeller"
0.864864864864865,0.22,"random_mod","best","zeller"
0.864864864864865,0.24,"random_mod","best","zeller"
0.864864864864865,0.28,"random_mod","best","zeller"
0.864864864864865,0.3,"random_mod","best","zeller"
0.837837837837838,0.32,"random_mod","best","zeller"
0.810810810810811,0.32,"random_mod","best","zeller"
0.810810810810811,0.34,"random_mod","best","zeller"
0.810810810810811,0.36,"random_mod","best","zeller"
0.810810810810811,0.38,"random_mod","best","zeller"
0.810810810810811,0.4,"random_mod","best","zeller"
0.756756756756757,0.4,"random_mod","best","zeller"
0.756756756756757,0.42,"random_mod","best","zeller"
0.756756756756757,0.44,"random_mod","best","zeller"
0.72972972972973,0.46,"random_mod","best","zeller"
0.702702702702703,0.46,"random_mod","best","zeller"
0.702702702702703,0.48,"random_mod","best","zeller"
0.675675675675676,0.48,"random_mod","best","zeller"
0.648648648648649,0.48,"random_mod","best","zeller"
0.648648648648649,0.52,"random_mod","best","zeller"
0.648648648648649,0.54,"random_mod","best","zeller"
0.621621621621622,0.56,"random_mod","best","zeller"
0.567567567567568,0.58,"random_mod","best","zeller"
0.567567567567568,0.6,"random_mod","best","zeller"
0.540540540540541,0.6,"random_mod","best","zeller"
0.540540540540541,0.62,"random_mod","best","zeller"
0.513513513513513,0.62,"random_mod","best","zeller"
0.513513513513513,0.66,"random_mod","best","zeller"
0.459459459459459,0.66,"random_mod","best","zeller"
0.405405405405405,0.66,"random_mod","best","zeller"
0.378378378378378,0.68,"random_mod","best","zeller"
0.378378378378378,0.7,"random_mod","best","zeller"
0.378378378378378,0.72,"random_mod","best","zeller"
0.378378378378378,0.74,"random_mod","best","zeller"
0.351351351351351,0.74,"random_mod","best","zeller"
0.351351351351351,0.76,"random_mod","best","zeller"
0.324324324324324,0.76,"random_mod","best","zeller"
0.324324324324324,0.78,"random_mod","best","zeller"
0.27027027027027,0.78,"random_mod","best","zeller"
0.243243243243243,0.78,"random_mod","best","zeller"
0.216216216216216,0.78,"random_mod","best","zeller"
0.189189189189189,0.78,"random_mod","best","zeller"
0.189189189189189,0.8,"random_mod","best","zeller"
0.162162162162162,0.82,"random_mod","best","zeller"
0.162162162162162,0.84,"random_mod","best","zeller"
0.135135135135135,0.84,"random_mod","best","zeller"
0.135135135135135,0.86,"random_mod","best","zeller"
0.135135135135135,0.88,"random_mod","best","zeller"
