"est","lower","upper","pvalue","measure","study"
1,0.315001917134369,3.17458385363876,1,"sobs","brim"
1,0.315001917134369,3.17458385363876,1,"shannon","brim"
1,0.315001917134369,3.17458385363876,1,"shannoneven","brim"
1.28267045454545,0.786735834896921,2.12736445815721,0.321136687217898,"sobs","zeller"
1.03156565656566,0.632651361233955,1.68826834699937,0.900809522270087,"shannon","zeller"
0.830681818181818,0.50493317185999,1.35326549223143,0.457574222596451,"shannoneven","zeller"
1,0.826342114000689,1.2101525301168,1,"sobs","baxter"
1.08421052631579,0.896411365094201,1.31360116348959,0.404358917865981,"shannon","baxter"
1.2,0.99190778877322,1.45731588629255,0.0606293538467757,"shannoneven","baxter"
1.15823937044867,0.927226446867025,1.44852084982841,0.196192015969731,"sobs","hale"
1.18023255813953,0.944677686556603,1.47648434796727,0.145048928193768,"shannon","hale"
1.20267921361784,0.96245851919745,1.5050751904022,0.104800814972564,"shannoneven","hale"
