"measure","study","high_N","high_Y","low_N","low_Y"
"shannon","ahn",82,23,66,39
"shannon","baxter",199,46,171,74
"shannon","flemer",23,17,14,26
"shannon","wang",29,22,27,24
"shannon","weir",1,4,3,3
"shannon","zeller",45,19,42,22
"shannoneven","ahn",84,21,64,41
"shannoneven","baxter",193,52,177,68
"shannoneven","flemer",23,17,14,26
"shannoneven","wang",32,19,24,27
"shannoneven","weir",1,4,3,3
"shannoneven","zeller",44,20,43,21
"sobs","ahn",84,21,64,41
"sobs","baxter",194,51,176,69
"sobs","flemer",21,19,16,24
"sobs","wang",26,25,30,21
"sobs","weir",1,4,3,3
"sobs","zeller",44,20,43,21
