otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu0048,3.303759276376317,3.14062474127387,3.429213775348983,Firmicutes,Peptostreptococcaceae,Peptostreptococcus,wang
Otu0007,2.3885447074728114,2.236051330886268,2.538243743836695,Firmicutes,Lachnospiraceae,Lachnospiraceae,wang
Otu0003,1.6139455771125242,1.5101418496878036,1.6996164357908363,Firmicutes,Lachnospiraceae,Blautia,wang
Otu0015,1.4109231545599241,1.3350200834210473,1.5267618913589207,Proteobacteria,Enterobacteriaceae,Escherichia/Shigella,wang
Otu0004,1.2614476859416957,1.2064539946515584,1.3357318742680158,Bacteroidetes,Bacteroidaceae,Bacteroides,wang
Otu0002,1.1725578139830972,1.1067792632130313,1.2341844692796446,Firmicutes,Lachnospiraceae,Lachnospiraceae,wang
Otu0017,1.0584479846805712,0.9803895662092053,1.1291553149678262,Firmicutes,Enterococcaceae,Enterococcus,wang
Otu0012,1.0432833923235063,0.956130583272616,1.1079661547797783,Firmicutes,Lachnospiraceae,Roseburia,wang
Otu0047,1.0028258819186342,0.9422017769105153,1.0725308085959764,Proteobacteria,Enterobacteriaceae,Klebsiella,wang
Otu0027,0.8060863313438809,0.7566692082999287,0.880445425021541,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,wang
Otu0242,0.7964126794880813,0.7356090765912562,0.86154746404189,Firmicutes,Ruminococcaceae,Ruminococcaceae,wang
Otu0001,0.7534719419620166,0.701722315356858,0.8210650475969098,Firmicutes,Ruminococcaceae,Faecalibacterium,wang
Otu0098,0.713586282827906,0.6569625201764354,0.7656528465759079,Proteobacteria,Enterobacteriaceae,Klebsiella,wang
Otu0069,0.6896377791694799,0.6279671748262785,0.7517359760365765,Firmicutes,Streptococcaceae,Streptococcus,wang
Otu0005,0.6824959147837832,0.6351473797044933,0.7335328959068931,Firmicutes,Lachnospiraceae,Lachnospiraceae,wang
Otu0013,0.6707682908833797,0.6297223746303253,0.7256559582416655,Firmicutes,Lachnospiraceae,Clostridium_XlVa,wang
Otu0014,0.6636184271888145,0.6100452930512931,0.7302535648949964,Bacteroidetes,Bacteroidaceae,Bacteroides,wang
Otu0021,0.6364273378634465,0.5798653547786929,0.6722643541810208,Firmicutes,Acidaminococcaceae,Phascolarctobacterium,wang
Otu0019,0.6355997556805117,0.575255258177319,0.6982804192235726,Firmicutes,Ruminococcaceae,Ruminococcaceae,wang
Otu0130,0.5822479769045734,0.5448267909605582,0.639945734962705,Firmicutes,Leuconostocaceae,Weissella,wang
Otu0020,0.5718552050080432,0.5218136191272064,0.6527522227249878,Bacteroidetes,Bacteroidaceae,Bacteroides,wang
Otu0011,0.5699399853033531,0.5153080118036282,0.6168879534112532,Firmicutes,Lachnospiraceae,Dorea,wang
Otu0064,0.5598337426516051,0.5182023141784026,0.61803640720499875,Firmicutes,Firmicutes,Firmicutes,wang
