otu,mda_median,iqr25,iqr75
Otu000012,4.782365251922974,4.54597361709288,5.069220314161027
Otu000003,4.660983902981112,4.405435019013489,4.928040640911323
Otu000054,3.1246811396766057,2.9171169972301687,3.2449356622956116
Otu000026,2.981010824501603,2.8008063462270765,3.111499690472093
Otu000036,2.5171879211135635,2.3752102027978013,2.6920810452147332
Otu000091,2.488571248016685,2.3240542514791978,2.6504129693406524
Otu000051,1.940747050755185,1.798657498596425,2.057855794757786
Otu000090,1.9376287903164169,1.7884270719741222,2.063296811724736
Otu000008,1.9216313700443037,1.7911066781067264,2.0805403947407144
Otu000001,1.8768663973296085,1.7217914321537633,1.9947978269905564
Otu000151,1.4922312723536593,1.3774171239172097,1.6102886472255384
Otu000010,1.4643575486249516,1.3377038423692778,1.5702570011222536
Otu000144,1.3703974467301987,1.2522490399189614,1.5189474429830927
Otu000120,1.3542280258898014,1.2204050190026934,1.4495264117172897
Otu000069,1.3449411342481112,1.2475671196861318,1.4487752099761608
Otu000020,1.3329639543433374,1.1958623632829726,1.466864733855172
Otu000031,1.3312991508219616,1.2117886979115209,1.4158601967302624
Otu000176,1.289883895542646,1.1974086377465913,1.4016528690246917
Otu000079,1.2720232640445186,1.1684224219319628,1.3313253150649458
Otu000100,1.1655957984696936,1.0681812106176716,1.2860365818518504
Otu000033,1.1614476173334323,1.0559170909370694,1.2743099071060349
Otu000004,1.12698455555494,1.0354431201288457,1.2022201331261149
Otu000022,1.0734443249900816,0.974765065319632,1.1798768019174295
Otu000009,1.0689014576872198,0.994783742996966,1.155415699343654
Otu000002,1.051364070289185,0.974495429157238,1.140637846711688
Otu000129,1.0418963826421819,0.9323009863965158,1.1443718379052399
Otu000042,1.0178753894638872,0.947121978748005,1.1013732261580311
Otu000165,1.0140133927526043,0.9167928827620888,1.1225494890655092
Otu000017,1.0068718635729468,0.9203049374372099,1.1004059063225315
Otu000029,0.9356726467972104,0.878459655064417,1.0228910585701683
Otu000108,0.9024793891406471,0.8317414827411211,1.0009359093763828
Otu000071,0.874540904312981,0.8039833135115187,0.9393021670332338
Otu000052,0.8669959829502673,0.7755798837572052,0.9506183457767854
Otu000045,0.859817346697114,0.7815768887833491,0.962076278676638
Otu000014,0.8529353049905524,0.7802015061552097,0.9233941842690427
Otu000024,0.7966685526160601,0.7093757365803887,0.8695434180185798
Otu000163,0.7961115048222042,0.712184510033069,0.8962271468761314
Otu000121,0.7912248044407433,0.717031049963696,0.878436810963935
Otu000122,0.7686221901210394,0.698852835985078,0.8898543560629784
Otu000044,0.7392527688361517,0.6553816990523392,0.7897471068885619
Otu000050,0.7236514815271021,0.6722241773539445,0.8043637833346415
Otu000078,0.7050969709643895,0.6223292673277974,0.7722642939945756
Otu000034,0.7036119103136071,0.6353067565552658,0.8066490612496371
Otu000084,0.7009270790971716,0.6367091989478064,0.7723013749337593
Otu000182,0.6883026421079599,0.6048719620825372,0.7665835985928169
Otu000021,0.6259510763912668,0.576961223285489,0.6816778028761582
Otu000041,0.6096879029898281,0.5655894540333103,0.6644356612195761
Otu000195,0.5950494089219851,0.5150407429947771,0.6436418026230664
Otu000049,0.5843914666787404,0.5297404295986564,0.6705469734291332
