"sens","spec","auc","study"
1,0,0.666666666666667,"burns"
0.666666666666667,0,0.666666666666667,"burns"
0.666666666666667,0.333333333333333,0.666666666666667,"burns"
0.666666666666667,0.666666666666667,0.666666666666667,"burns"
0.666666666666667,1,0.666666666666667,"burns"
0.333333333333333,1,0.666666666666667,"burns"
0,1,0.666666666666667,"burns"
1,0,0.6875,"geng"
1,0.125,0.6875,"geng"
1,0.375,0.6875,"geng"
0.875,0.375,0.6875,"geng"
0.75,0.375,0.6875,"geng"
0.75,0.5,0.6875,"geng"
0.75,0.625,0.6875,"geng"
0.75,0.75,0.6875,"geng"
0.625,0.75,0.6875,"geng"
0.5,0.75,0.6875,"geng"
0.375,0.75,0.6875,"geng"
0.25,0.75,0.6875,"geng"
0.125,0.75,0.6875,"geng"
0.125,0.875,0.6875,"geng"
0.125,1,0.6875,"geng"
0,1,0.6875,"geng"
1,0,0.455621301775148,"dejea"
0.923076923076923,0,0.455621301775148,"dejea"
0.846153846153846,0,0.455621301775148,"dejea"
0.769230769230769,0,0.455621301775148,"dejea"
0.692307692307692,0,0.455621301775148,"dejea"
0.615384615384615,0,0.455621301775148,"dejea"
0.538461538461538,0,0.455621301775148,"dejea"
0.538461538461538,0.0769230769230769,0.455621301775148,"dejea"
0.538461538461538,0.153846153846154,0.455621301775148,"dejea"
0.538461538461538,0.230769230769231,0.455621301775148,"dejea"
0.538461538461538,0.307692307692308,0.455621301775148,"dejea"
0.538461538461538,0.384615384615385,0.455621301775148,"dejea"
0.538461538461538,0.461538461538462,0.455621301775148,"dejea"
0.538461538461538,0.538461538461538,0.455621301775148,"dejea"
0.461538461538462,0.538461538461538,0.455621301775148,"dejea"
0.461538461538462,0.615384615384615,0.455621301775148,"dejea"
0.461538461538462,0.692307692307692,0.455621301775148,"dejea"
0.461538461538462,0.769230769230769,0.455621301775148,"dejea"
0.384615384615385,0.769230769230769,0.455621301775148,"dejea"
0.384615384615385,0.846153846153846,0.455621301775148,"dejea"
0.307692307692308,0.846153846153846,0.455621301775148,"dejea"
0.307692307692308,0.923076923076923,0.455621301775148,"dejea"
0.230769230769231,0.923076923076923,0.455621301775148,"dejea"
0.153846153846154,0.923076923076923,0.455621301775148,"dejea"
0.0769230769230769,0.923076923076923,0.455621301775148,"dejea"
0.0769230769230769,1,0.455621301775148,"dejea"
0,1,0.455621301775148,"dejea"
