"otu","mda_median","iqr25","iqr75"
"Ruminococcus2",11.4974517169534,11.4974517169534,11.4974517169534
"Ruminococcus",7.54449160902445,7.54449160902445,7.54449160902445
"Anaerostipes",6.89435593805463,6.89435593805463,6.89435593805463
"Coprococcus",4.14633446504243,4.14633446504243,4.14633446504243
"Faecalibacterium",3.92305982604484,3.92305982604484,3.92305982604484
"Streptococcus",3.72584166901716,3.72584166901716,3.72584166901716
"Clostridium_IV",3.46327151125571,3.46327151125571,3.46327151125571
"Fusobacterium",3.35162462738747,3.35162462738747,3.35162462738747
"Blautia",3.14940316937781,3.14940316937781,3.14940316937781
"Bifidobacterium",3.05358901204837,3.05358901204837,3.05358901204837
"Porphyromonas",2.59746865246944,2.59746865246944,2.59746865246944
"Dorea",2.41052887976323,2.41052887976323,2.41052887976323
"Clostridium_XVIII",2.28515885300838,2.28515885300838,2.28515885300838
"Phascolarctobacterium",1.89681495517767,1.89681495517767,1.89681495517767
"Peptostreptococcus",1.83865376730732,1.83865376730732,1.83865376730732
"Clostridium_sensu_stricto",1.81117814649827,1.81117814649827,1.81117814649827
"Bacteroides",1.74240172362988,1.74240172362988,1.74240172362988
"Escherichia.Shigella",1.7025075591593,1.7025075591593,1.7025075591593
"Parvimonas",1.56439629897655,1.56439629897655,1.56439629897655
"Mogibacterium",1.53509915551777,1.53509915551777,1.53509915551777
"Roseburia",1.52505142977322,1.52505142977322,1.52505142977322
"Alistipes",1.51572951975846,1.51572951975846,1.51572951975846
"Prevotella",1.500278453675,1.500278453675,1.500278453675
"Clostridium_XI",1.33310331291802,1.33310331291802,1.33310331291802
"Oscillibacter",1.26930025685329,1.26930025685329,1.26930025685329
"Clostridium_XlVa",1.25401447712405,1.25401447712405,1.25401447712405
"Haemophilus",1.21102736945886,1.21102736945886,1.21102736945886
"Collinsella",1.19553566853069,1.19553566853069,1.19553566853069
"Gemella",1.18275809948658,1.18275809948658,1.18275809948658
"Butyricicoccus",1.14498498025543,1.14498498025543,1.14498498025543
"Clostridium_XlVb",1.12822761281361,1.12822761281361,1.12822761281361
"Barnesiella",1.10992244316877,1.10992244316877,1.10992244316877
"Parasutterella",1.10508895369589,1.10508895369589,1.10508895369589
"Parabacteroides",1.09051715130144,1.09051715130144,1.09051715130144
"Akkermansia",1.0857049063686,1.0857049063686,1.0857049063686
"Campylobacter",1.06853112461736,1.06853112461736,1.06853112461736
"Dialister",1.04249956593335,1.04249956593335,1.04249956593335
"Flavonifractor",0.981905580527143,0.981905580527143,0.981905580527143
"Butyricimonas",0.93334019584794,0.93334019584794,0.93334019584794
"Howardella",0.921052099454708,0.921052099454708,0.921052099454708
"Odoribacter",0.884237694363186,0.884237694363186,0.884237694363186
"Anaerococcus",0.850377916816649,0.850377916816649,0.850377916816649
"Veillonella",0.831786720715249,0.831786720715249,0.831786720715249
"Bilophila",0.784754984087675,0.784754984087675,0.784754984087675
"Anaerotruncus",0.777865420514992,0.777865420514992,0.777865420514992
"Desulfovibrio",0.777783201263356,0.777783201263356,0.777783201263356
"Holdemania",0.705451611210592,0.705451611210592,0.705451611210592
"Enterococcus",0.701378755404359,0.701378755404359,0.701378755404359
"Sutterella",0.664287436938432,0.664287436938432,0.664287436938432
"Paraprevotella",0.608571344776034,0.608571344776034,0.608571344776034
"Lactobacillus",0.57117749168148,0.57117749168148,0.57117749168148
"Staphylococcus",0.539633165988195,0.539633165988195,0.539633165988195
"Rothia",0.48360997835325,0.48360997835325,0.48360997835325
"Granulicatella",0.463091730425969,0.463091730425969,0.463091730425969
"Catenibacterium",0.440705352002629,0.440705352002629,0.440705352002629
"Turicibacter",0.439940935486186,0.439940935486186,0.439940935486186
"Alloprevotella",0.423071471459317,0.423071471459317,0.423071471459317
"Selenomonas",0.416479250449629,0.416479250449629,0.416479250449629
"Actinomyces",0.415620467082981,0.415620467082981,0.415620467082981
"Pseudoflavonifractor",0.402107589895922,0.402107589895922,0.402107589895922
"Eggerthella",0.363611224296585,0.363611224296585,0.363611224296585
"Slackia",0.361331685260372,0.361331685260372,0.361331685260372
"Leptotrichia",0.359262119558554,0.359262119558554,0.359262119558554
"Coprobacillus",0.348629136621144,0.348629136621144,0.348629136621144
"Corynebacterium",0.333421661209121,0.333421661209121,0.333421661209121
"Aggregatibacter",0.288195440158444,0.288195440158444,0.288195440158444
"Peptoniphilus",0.285664451218659,0.285664451218659,0.285664451218659
"Peptococcus",0.284867151009635,0.284867151009635,0.284867151009635
"Atopobium",0.284441058034965,0.284441058034965,0.284441058034965
"Eubacterium",0.273202624791283,0.273202624791283,0.273202624791283
"Micrococcus",0.222902166905285,0.222902166905285,0.222902166905285
"Eikenella",0.216544233955679,0.216544233955679,0.216544233955679
"Clostridium_XIX",0.197362451228894,0.197362451228894,0.197362451228894
"Bradyrhizobium",0.190721338826253,0.190721338826253,0.190721338826253
"Megasphaera",0.180328670759225,0.180328670759225,0.180328670759225
"Solobacterium",0.178941732331168,0.178941732331168,0.178941732331168
"Oribacterium",0.142718766473212,0.142718766473212,0.142718766473212
"Burkholderia",0.129963420857396,0.129963420857396,0.129963420857396
"Finegoldia",0.109328835396775,0.109328835396775,0.109328835396775
"Propionibacterium",0.107999731904503,0.107999731904503,0.107999731904503
"Lactococcus",0.0934032803607293,0.0934032803607293,0.0934032803607293
"Stenotrophomonas",0.084540093257535,0.084540093257535,0.084540093257535
"Sphingomonas",0.0843919231914719,0.0843919231914719,0.0843919231914719
"Facklamia",0.0771287534894705,0.0771287534894705,0.0771287534894705
"Capnocytophaga",0.0690715953269405,0.0690715953269405,0.0690715953269405
"Aeromonas",0.0658536564584365,0.0658536564584365,0.0658536564584365
"Leuconostoc",0.0590960335022372,0.0590960335022372,0.0590960335022372
"Kocuria",0.058892043307443,0.058892043307443,0.058892043307443
"Brachybacterium",0.0588357230970825,0.0588357230970825,0.0588357230970825
"Brevundimonas",0.0536589895624428,0.0536589895624428,0.0536589895624428
"Comamonas",0.0527119550101885,0.0527119550101885,0.0527119550101885
"Raoultella",0.0523718368294039,0.0523718368294039,0.0523718368294039
