"measure","study","high_N","high_Y","low_N","low_Y"
"all_four","ahn",29,29,119,33
"all_four","baxter",99,67,271,53
"all_four","flemer",14,26,23,17
"all_four","hale",43,4,644,13
"all_four","wang",4,22,52,24
"all_four","weir",0,4,4,3
"all_four","zeller",5,15,82,26
"Fusobacterium","ahn",19,20,129,42
"Fusobacterium","baxter",131,65,239,55
"Fusobacterium","flemer",8,18,29,25
"Fusobacterium","hale",37,3,650,14
"Fusobacterium","wang",25,26,31,20
"Fusobacterium","weir",0,3,4,4
"Fusobacterium","zeller",7,20,80,21
"Parvimonas","ahn",9,8,139,54
"Parvimonas","baxter",82,55,288,65
"Parvimonas","flemer",4,9,33,34
"Parvimonas","hale",5,0,682,17
"Parvimonas","wang",1,12,55,34
"Parvimonas","weir",0,2,4,5
"Parvimonas","zeller",22,25,65,16
"Peptostreptococcus","ahn",3,8,145,54
"Peptostreptococcus","baxter",44,46,326,74
"Peptostreptococcus","flemer",0,12,37,31
"Peptostreptococcus","hale",2,1,685,16
"Peptostreptococcus","wang",2,24,54,22
"Peptostreptococcus","weir",0,1,4,6
"Peptostreptococcus","zeller",21,27,66,14
"Porphyromonas","ahn",9,12,139,50
"Porphyromonas","baxter",122,63,248,57
"Porphyromonas","flemer",3,13,34,30
"Porphyromonas","hale",2,0,685,17
"Porphyromonas","wang",7,14,49,32
"Porphyromonas","weir",0,2,4,5
"Porphyromonas","zeller",23,17,64,24
"total_four","ahn",29,29,119,33
"total_four","baxter",159,84,211,36
"total_four","flemer",14,26,23,17
"total_four","hale",43,4,644,13
"total_four","wang",21,30,35,16
"total_four","weir",0,4,4,3
"total_four","zeller",13,25,74,16
